Sample,F AN,F ADN,F PN
sample15.CSV,0.056,0.833,0.611
sample16.CSV,0.1,0.5,0.9
sample17.CSV,0.467,0.762,0.27
sample18.CSV,1.095,0.284,0.122
sample19.CSV,0.311,0.651,0.538
sample20.CSV,0.682,0.136,0.682
sample21.CSV,0.574,0.352,0.574
sample22.CSV,0.605,0.289,0.605
sample23.CSV,0.256,0.988,0.256
sample24.CSV,0.278,0.278,0.944
sample25.CSV,0.733,0.733,0.035
sample26.CSV,0.853,0.382,0.265
sample27.CSV,0.291,0.649,0.56
sample28.CSV,0.587,0.587,0.326
sample29.CSV,0.528,0.528,0.444
sample30.CSV,0.543,0.032,0.926
sample31.CSV,0.048,0.823,0.629
sample32.CSV,0.076,0.432,0.992
sample33.CSV,0.577,0.808,0.115
sample34.CSV,1.02,0.02,0.46
sample35.CSV,0.266,0.463,0.771
sample36.CSV,0.794,0.265,0.441
sample37.CSV,0.602,0.418,0.48
sample38.CSV,0.492,0.286,0.721
sample39.CSV,0.167,0.864,0.47
sample40.CSV,0.317,0.106,1.077
sample41.CSV,0.684,0.539,0.277
