Sample,F AN,F ADN,F PN,F glycerol
sample01.CSV,1,1,1,1
sample02.CSV,1.5,0.5,1.5,0.5
sample03.CSV,0.5,1.5,0.5,1.5
sample04.CSV,1,1,1.67,0.33
sample05.CSV,1.4,1.4,0.2,1
sample06.CSV,1.67,0.33,1,1
sample07.CSV,0.2,1,1.4,1.4
sample08.CSV,0.5,0.83,0.83,1.83
sample09.CSV,1.1,1.3,1.3,0.3
sample10.CSV,1.5,0.1,0.9,1.5
sample11.CSV,1.17,1.5,0.17,1.17
sample12.CSV,0.62,0.38,1.88,1.12
sample13.CSV,1.62,1.38,0.88,0.12
sample14.CSV,1.12,0.88,0.38,1.62
sample15.CSV,0.12,1.88,1.38,0.62
sample16.CSV,0.21,1.03,1.86,0.9
sample17.CSV,0.84,1.38,0.49,1.29
sample18.CSV,2.57,0.67,0.29,0.48
sample19.CSV,0.59,1.24,1.03,1.14
sample20.CSV,1.43,0.29,1.43,0.86
sample21.CSV,1.17,0.72,1.17,0.94
sample22.CSV,1.59,0.76,1.59,0.07
sample23.CSV,0.48,1.86,0.48,1.17
sample24.CSV,0.37,0.37,1.26,2
sample25.CSV,1.56,1.56,0.07,0.81
